context,function,mop,mopLabel,code,label,245abbr,245label,note,isLabelFun
performance,,,,,,acc.,accompagnement,,TRUE
performance,,vso,soprano,,,dessus,dessus,,TRUE
performance,,,,,,réal.,réalisation,,TRUE
performance,narrateur,,,,,récitant,récitant,,TRUE
performance,,,,1720,Claquettes,,,,TRUE
performance,,,,1777,Sculptures et environnements sonores,,,,TRUE
performance,acteur,,,1010,Acteur,,,,TRUE
performance,acteur,,,1011,Acteur présumé,,,,TRUE
performance,acteur,,,1013,Acteur prétendu,,,,TRUE
performance,,,,1017,Humoriste,,,,TRUE
performance,,,,1020,Artiste de cirque,,,,TRUE
performance,,,,1830,Siffleur,,,,TRUE
performance,,,,1837,Bruits corporels,,,,TRUE
performance,bruiteur,,,1840,Bruitages,,,,TRUE
performance,disc jockey,,,1850,Disc jockey,,,,TRUE
performance,remixeur,,,1860,Remixeur,,,,TRUE
performance,chef d'orchestre,,,1040,Direction d'orchestre,dir.,chef d´orchestre,,TRUE
performance,,,,1050,Marionettiste,,,,TRUE
performance,danseur,,,1060,Danse,,,,TRUE
performance,chef de choeur,,,1080,Direction de chœur,chef de choeur,chef de choeur,,TRUE
performance,mime,,,1090,Mime,,,,TRUE
performance,,mui,instrument – unspecified,1100,Instrumentiste,,,,TRUE
performance,,mui,instrument – unspecified,1101,Instrumentiste présumé,,,,TRUE
performance,,mui,instrument – unspecified,1103,Instrumentiste prétendu,,,,TRUE
performance,,mui,instrument – unspecified,1108,Instrumentiste (musique ethnique),,,,TRUE
performance,interprète,,,1990,Interprète,,,,TRUE
performance,,,,9990,Fonction indéterminée,,,,TRUE
performance,,vun,voice - unspecified,1030,Chant,chant,chant,,TRUE
performance,,vun,voice - unspecified,1031,Chanteur présumé,,,,TRUE
performance,,vun,voice - unspecified,1033,Chanteur prétendu,,,,TRUE
performance,,vun,voice - unspecified,1039,Chant (sons traités par l'électronique),,,,TRUE
performance,,vre,reciting voice,1110,Voix parlée,V,voix,,FALSE
performance,,vre,reciting voice,1119,Voix parlée (sons traités par l'électronique),,,,FALSE
performance,,vso,soprano,1120,Soprano,S,,,FALSE
performance,,vso,soprano,1129,Soprano (sons traités par l'électronique),,,,FALSE
performance,,vct,countertenor,,,sopraniste,sopraniste,,FALSE
performance,,vms,mezzosoprano,1130,Mezzo-soprano,MS,mezzo-soprano,,FALSE
performance,,vms,mezzosoprano,1139,Mezzo-soprano (sons traités par l'électronique),,,,FALSE
performance,,val,alto,1140,Alto (voix),A,"alto, contralto (tessiture)",,FALSE
performance,,val,alto,1149,Alto (voix ; sons traités par l'électronique),,,,FALSE
performance,,vte,tenor,1150,Ténor,T,ténor,,FALSE
performance,,vte,tenor,1159,Ténor (sons traités par l'électronique),,,,FALSE
performance,,vbr,baritone,1160,Baryton (voix),BAR,baryton,,FALSE
performance,,vbr,baritone,1169,Baryton (voix ; sons traités par l'électronique),,,,FALSE
performance,,vbr,baritone,1170,Baryton-basse,BAR B,baryton basse,,FALSE
performance,,vbr,baritone,1179,Baryton-basse (sons traités par l'électronique),,,,FALSE
performance,,vbs,bass,1180,Basse (voix),B,basse (tessiture),,FALSE
performance,,vbs,bass,1189,Basse (voix ; sons traités par l'électronique),,,,FALSE
