function,mop,mopLabel,code,label,245abbr,245label,isLabelFun
,,,,,acc.,accompagnement,TRUE
,vso,soprano,,,dessus,dessus,TRUE
,,,,,réal.,réalisation,TRUE
narrateur,,,,,récitant,récitant,TRUE
,,,1720,Claquettes,,,TRUE
,,,1777,Sculptures et environnements sonores,,,TRUE
acteur,,,1010,Acteur,,,TRUE
acteur,,,1011,Acteur présumé,,,TRUE
acteur,,,1013,Acteur prétendu,,,TRUE
,,,1017,Humoriste,,,TRUE
,,,1020,Artiste de cirque,,,TRUE
,,,1830,Siffleur,,,TRUE
,,,1837,Bruits corporels,,,TRUE
bruiteur,,,1840,Bruitages,,,TRUE
disc jockey,,,1850,Disc jockey,,,TRUE
remixeur,,,1860,Remixeur,,,TRUE
chef d'orchestre,,,1040,Direction d'orchestre,dir.,chef d´orchestre,TRUE
danseur,,,1060,Danse,,,TRUE
chef de choeur,,,1080,Direction de chœur,chef de choeur,chef de choeur,TRUE
mime,,,1090,Mime,,,TRUE
,mui,instrument – unspecified,1100,Instrumentiste,,,TRUE
,mui,instrument – unspecified,1101,Instrumentiste présumé,,,TRUE
,mui,instrument – unspecified,1103,Instrumentiste prétendu,,,TRUE
,mui,instrument – unspecified,1108,Instrumentiste (musique ethnique),,,TRUE
interprète,,,1990,Interprète,,,TRUE
,,,9990,Fonction indéterminée,,,TRUE
,vun,voice - unspecified,1030,Chant,chant,chant,TRUE
,vun,voice - unspecified,1031,Chanteur présumé,,,TRUE
,vun,voice - unspecified,1033,Chanteur prétendu,,,TRUE
,vun,voice - unspecified,1039,Chant (sons traités par l'électronique),,,TRUE
,vre,reciting voice,1110,Voix parlée,V,voix,FALSE
,vre,reciting voice,1119,Voix parlée (sons traités par l'électronique),,,FALSE
,vso,soprano,1120,Soprano,S,,FALSE
,vso,soprano,1129,Soprano (sons traités par l'électronique),,,FALSE
,vct,countertenor,,,sopraniste,sopraniste,FALSE
,vms,mezzosoprano,1130,Mezzo-soprano,MS,mezzo-soprano,FALSE
,vms,mezzosoprano,1139,Mezzo-soprano (sons traités par l'électronique),,,FALSE
,val,alto,1140,Alto (voix),A,"alto, contralto (tessiture)",FALSE
,val,alto,1149,Alto (voix ; sons traités par l'électronique),,,FALSE
,vte,tenor,1150,Ténor,T,ténor,FALSE
,vte,tenor,1159,Ténor (sons traités par l'électronique),,,FALSE
,vbr,baritone,1160,Baryton (voix),BAR,baryton,FALSE
,vbr,baritone,1169,Baryton (voix ; sons traités par l'électronique),,,FALSE
,vbr,baritone,1170,Baryton-basse,BAR B,baryton basse,FALSE
,vbr,baritone,1179,Baryton-basse (sons traités par l'électronique),,,FALSE
,vbs,bass,1180,Basse (voix),B,basse (tessiture),FALSE
,vbs,bass,1189,Basse (voix ; sons traités par l'électronique),,,FALSE
,vct,countertenor,1190,Contre-ténor,CT,contreténor,FALSE
,vhc,haute-contre,1197,Haute-contre,HC,haute-contre,FALSE
,vct,countertenor,1199,Contre-ténor (sons traités par l'électronique),,,FALSE
,vbs,bass,,,BContre,basse-contre,FALSE
,vbr,baritone,,,BTaille,basse-taille,FALSE
,vso,soprano,,,C,cantus,FALSE
,vso,soprano,,,D,"déchant, discantus",FALSE
,vcv,child voice,1200,Voix chantée d'enfant,,,FALSE
,svl,violin,1210,Violon,vl,violon,FALSE
,sun,"strings, bowed – unspecified",1217,Cordes frottées (divers),,,FALSE
,sun__y,"strings, bowed – ethnic",1218,Cordes frottées (musique ethnique),,,FALSE
