iaml;name;frenchName;intermarc;note
bah;Alphorn;cor des Alpes;;Pas d’équivalent dans le format source
bbb;bombardino;saxhornn baryton;;Pas d’équivalent dans le format source
bbd;bombardon;Basse impériale;;Pas d’équivalent dans le format source
bbh;bersag horn;;;Pas d’équivalent dans le format source
bbu;bugle;bugle baryton;;Pas d’équivalent dans le format source
bca;carnyx;;;Pas d’équivalent dans le format source
bcb;cimbasso;trombone verdi;;Pas d’équivalent dans le format source
bch;cow horn;;;Pas d’équivalent dans le format source
bcl;clarion;;;Pas d’équivalent dans le format source
bco;cornet;cornet à piston;bc;
bct;cornett;cornet à bouquin;;Pas d’équivalent dans le format source
bcu;cornu;;;Pas d’équivalent dans le format source
bdx;duplex;dublophone;;Pas d’équivalent dans le format source
beu;euphonium;euphonium;;Pas d’équivalent dans le format source
bhh;hunting horn;cor de chasse;;Pas d’équivalent dans le format source
bho;horn;cor;ba;
bht;herald's trumpet;buisine;;Pas d’équivalent dans le format source
bkb;keyed bugle;bugle à clefs;;Pas d’équivalent dans le format source
blu;lur;;;Pas d’équivalent dans le format source
bol;oliphant;Cor d’olifant;;Pas d’équivalent dans le format source
bop;ophicleide;basse à clefs;;Pas d’équivalent dans le format source
bph;post horn;cornet de poste;;Pas d’équivalent dans le format source
brh;russian horn;cor russe;;Pas d’équivalent dans le format source
bse;serpent;basse-cor;;Pas d’équivalent dans le format source
bsh;shofar;;;Pas d’équivalent dans le format source
bsx;salpinx;;;Pas d’équivalent dans le format source
bta;tuba (antique);;;Pas d’équivalent dans le format source
btb;trombone;trombone;bd;
btr;trumpet;trompette;bb;
btu;tuba;tuba;be;
bun;brass unspecified;cuivre - non spécifié;bn;
bun;brass unspecified;cuivre -inconnu;bu;
bun;brass unspecified;cuivre - ethnique;by;+ suffixe ‘y’
bvb;valved bugle;;;Pas d’équivalent dans le format source
bwt;Wagner tuba;tuba wagner;;Pas d’équivalent dans le format source
bzz;brass – other;cuivre - autre;bz;
cch;children's choir;chœur d'enfants;cd;
cme;men's choir;chœur d'hommes;cc;
cmi;mixed choir;chœur mixte;Ca;
cmi;mixed choir;chœur mixte;cj;
cmi;mixed choir;chœur mixte;ck;
cre;reciting choir;chœur parlé;;Pas d’équivalent dans le format source
cun;choir unspecified;chœur - non spécifié;cn;
cun;choir unspecified;chœur  -inconnu;cu;
cun;choir unspecified;chœur - ethnique;cy;+ suffixe ‘y’
cwo;women' s choir;chœur de femmes;cb;
czz;choir – other;choeur - autre;;Pas d’équivalent dans le format source
eco;computer;ordinateur;ec;
ecs;computerized musical station;station informatique musicale;;Pas d’équivalent dans le format source
ect;computerized tape;bande réalisée par ordinateur, son fixé;;Pas d’équivalent dans le format source
eds;digital space device;dispositif spatial numérique;;Pas d’équivalent dans le format source
eea;electro-acoustic device;dispositif électro-acoustique;;Pas d’équivalent dans le format source
eli;live electronic;Dispositif électronique temps réel;;Pas d’équivalent dans le format source
ely;lyricon;;;Pas d’équivalent dans le format source
ema;ondes Martenot;ondes martenot;ed;
eme;meta-instrument;méta-instrument;;Pas d’équivalent dans le format source
emu;multimedial device;dispositif multimédia;;Pas d’équivalent dans le format source
eos;oscillator;oscillateur;;Pas d’équivalent dans le format source
esp;space device;dispositif spatial;;Pas d’équivalent dans le format source
esy;synthesizer;synthétiseur;ea;
eta;tape;bande magnétique;eb;
eth;theremin;thereminovox;;Pas d’équivalent dans le format source
eun;Electronic unspecified;Instrument électronique - non spécifié;en;
eun;Electronic unspecified;Instrument électronique - iconnu;eu;
ezz;electronic – other;Instrument électronique -autre;ez;
kab;archicembalo;clavecin parfait accord;;Pas d’équivalent dans le format source
kac;accordion;accordéon;;Pas d’équivalent dans le format source
kba;bandoneon;bandonéon;;Pas d’équivalent dans le format source
kca;carillon (with keyboard);carillon;;Pas d’équivalent dans le format source
kce;celesta;célesta;kf;
kch;chordette;chordette;;Pas d’équivalent dans le format source
kcl;clavichord;clavicorde;kd;
kco;claviorgan;clavecin organisé;;Pas d’équivalent dans le format source
kcy;clavicytherium;clavecin vertical;;Pas d’équivalent dans le format source
kfp;fortepiano;piano forte;;Pas d’équivalent dans le format source
kfp;fortepiano;piano forte;;Pas d’équivalent dans le format source
kgl;glockenspiel (with keyboard);glockenspiel;;Pas d’équivalent dans le format source
khm;harmonium;harmonium;;Pas d’équivalent dans le format source
khp;harpsichord;clavecin;kc;
kmp;melopiano;piano trémolophone;;Pas d’équivalent dans le format source
kor;organ;orgue;kb;
kpf;piano;piano;ka;
kps;plucked string keyboard;clavier à cordes pincées;;Pas d’équivalent dans le format source
kre;regals;régale;;Pas d’équivalent dans le format source
ksi;sirenion;piano harmonicorde;;Pas d’équivalent dans le format source
ksp;sostenente piano;piano à archet;;Pas d’équivalent dans le format source
kst;spinet;épinette;;Pas d’équivalent dans le format source
kun;keyboard unspecified;clavier - non spécifié;kn;
kun;keyboard unspecified;clavier - inconnu;Ku;
kun;keyboard unspecified;clavier - ethnique;ky;+ suffixe ‘y’
kvg;virginal;;;Pas d’équivalent dans le format source
kzz;keyboard – other;clavier - autre;kz;
mah;eolian harp;harpe éolienne;;Pas d’équivalent dans le format source
