RDA-FR;Intermarc 009g pos.14;code009;Intermarc 050 $a;code050;avec 051$a;modifier 051$a
support audio;;;;;;
bande magnétique audio;bande magnétique;i;bande magnétique audio analogique|bande magnétique audio numérique;g01|g11;;
bande TEFI;;;;;;
bobine de piste sonore;;;;;;
cartouche audio;cartouche;j;cartouche audio;G10;;
cassette audio analogique;cassette audio;k;cassette audio analogique;g02;;
cassette audio numérique;cassette numérique;l;cassette audio numérique;g05;;
cassette DAT;;;;;;
CD audio;disque compact et;c;disque compact|SACD|CD-R audio;g03|g09|g13;;
CD-Extra;disque compact et;c;CD-Plus;s07;;
cylindre phonographique;cylindre;f;;;;
disque audio;disque pré-lp|disque microsillon;a|b;disque microsillon|disque à gravure directe;g04|g12;;
DVD audio;;;DVD audio;g08;;
feuille acoustique;;;feuille acoustique;g06;;
fil magnétique;fil magnétique;e;;;;
lecteur audio numérique préenregistré;;;;;;
MiniDisc;MiniDisc;d;MiniDisc;g07;;
bande perforée pour instrument mécanique;rouleau de piano ou d’orgue mécanique;g;;;;
ruban métallique magnétique;;;;;;
Blu-ray audio;;;Blu-ray;h11;prm|snd|spw;
matrice de disque;;;;;;
film ou transparent;;;;;;
bobine de film;;;film;h01;;
cartouche de film fixe;;;;;;
diapositive;;;diapositive;i04;;
film fixe;;;film fixe;i08;;
film fixe court;;;;;;
plaque de lanterne magique;;;;;;
rouleau de film;;;;;;
transparent pour rétroprojecteur;;;transparent;i09;;
support numérique manipulable;;;DON (Disque Optique Numérique)|bande perforée|CD-R informatique|DVD-R informatique|mémoire informatique;s09|s10|s13|s14|s18;;
Blu-ray Disc;;;Blu-ray;h11;prm|snd|spw;NOT
Blu-ray Disc propriétaire;;;Blu-ray dédié;s16;;
bobine de bande informatique;;;;;;
carte mémoire;;;;;;
carte mémoire propriétaire;;;;;;
cartouche à puce informatique;;;;;;
cartouche de bande informatique;;;;;;
cartouche de disque informatique;;;;;;
cartouche de disque optique;;;;;;
cartouche de jeu;;;cartouche de jeux vidéo;s12;;
cartouche informatique;;;;;;
cassette de bande informatique;;;cassette de bande magnétique numérique (informatique);s01;;
CD-I;;;CD-I;s06;;
CD-Photo;;;CD-Photo;s05;;
CD-ROM;;;cédérom;s03;;
CD-ROM propriétaire;;;cédérom dédié;s04;;
CDTV;;;CD-TV;h05;;
clé de licence de produit numérique;;;;;;
dispositif électronique autonome;;;;;;
disque optique hybride;;;DualDisc;s17;;
disquette;;;disquette;s02;;
disquette propriétaire;;;;;;
DVD-ROM;;;DVD-ROM;s08;;
DVD-ROM propriétaire;;;DVD-ROM dédié|UMD;s11|s15;;
mémoire USB;;;;;;
puce RFID;;;;;;
ressource dématérialisée;;;fichier numérique;s19;;
microforme;;;microforme;m01;;
microfilm;;;microfilm;m03;;
bande de microfilm;;;;;;
bobine de microfilm;;;;;;
carte à fenêtre;;;;;;
cartouche de microfilm;;;;;;
cassette de microfiches;;;;;;
cassette de microfilm;;;;;;
micro-opaque;;;;;;
microfiche;;;microfiche;m02;;
rouleau de microfilm;;;;;;
Support microscopique;;;;;;
lame pour microscope;;;;;;
Support sans médiation;;;;;;
appareil;;;;;;
autocollant;;;;;;
bande de film photographique;;;;;;
bobine de film photographique;;;;;;
brochure;;;brochure|bloc-notes;a02|a01;;
carte;;;fiche|fichier pédagogique|carte|carte postale;a05|a09|i03|i10;;
dépliant;;;;;;
fascicule;;;;;;
feuille;;;feuille|classeur à feuillets mobiles|affiche-texte|affiche|planche|photographie;a04|a03|a08|i02|i05|i06;;
fiche;;;;;;
film photographique;;;;;;
globe;;;;;;
kit;;;;;;
maquette;;;;;;
matrice;matrice;m;;;;
objet;;;objet non spécifié|jeu non vidéo;p01|p02;;
objet numismatique;;;;;;
panneau;;;;;;
panneau dépliant;;;;;;
plaque;;;;;;
plaque photographique;;;;;;
plateau de jeu;;;;;;
rouleau;;;;;;
rouleau de film photographique;;;;;;
tableau à feuilles mobiles;;;;;;
transparent;;;;;;
volume;;;livre|bloc-notes;a06|a01;;
Support stéréoscopique;;;;;;
carte stéréoscopique;;;;;;
disque stéréoscopique;;;;;;
plaque stéréoscopique;;;;;;
Vidéo;;;;;;
bande vidéo;;;bande vidéo;h10;;
Blu-ray vidéo;;;Blu-ray;h11;;
cassette vidéo;;;cassette vidéo;h02;;
cassette vidéo numérique;;;cassette vidéo;h03;;
disque vidéo;;;disque vidéo;h07;;
DVD vidéo;;;DVD vidéo;h09;;
HD DVD;;;HD DVD;h12;;
SVCD;;;;;;
vidéo CD;;;disque compact vidéo (12 cm);h06;;
